N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
173,이노션,"53,200","1,200",-2.21%,500,"10,640","20,000",29.15,"55,863",15.92,9.88,
174,진원생명과학,"23,700","7,150",-23.18%,"1,000","10,578","44,631",11.97,"55,250,242",-80.89,-28.50,
175,한국콜마,"45,550","1,400",-2.98%,500,"10,422","22,881",25.74,"231,878",47.35,6.39,
176,코스맥스,"103,500","2,000",-1.90%,500,"10,401","10,050",22.49,"139,101",26.98,10.45,
177,KODEX 코스닥150 레버리지,"12,930",125,-0.96%,0,"10,253","79,300",0.67,"25,030,308",N/A,N/A,
178,KBSTAR 200,"31,145",265,-0.84%,0,"10,200","32,750",0.05,"1,088,125",N/A,N/A,
179,대상,"28,600",450,+1.60%,"1,000","9,909","34,648",18.38,"423,574",7.65,11.17,
180,신세계인터내셔날,"137,000","6,000",-4.20%,"5,000","9,782","7,140",4.62,"88,267",15.79,12.98,
181,아시아나항공,"4,255",150,-3.41%,"5,000","9,499","223,235",6.15,"7,136,154",-0.86,-90.67,
182,쿠쿠홈시스,"41,000","1,150",-2.73%,100,"9,199","22,437",4.28,"60,471",12.01,16.10,
183,DGB금융지주,"5,310",30,-0.56%,"5,000","8,982","169,146",45.67,"764,673",2.88,7.31,
184,영풍,"480,000",0,0.00%,"5,000","8,842","1,842",4.30,"2,836",3.96,7.40,
185,다우기술,"19,700",200,-1.01%,500,"8,839","44,867",23.62,"188,225",4.64,14.62,
186,금호타이어,"3,070",95,-3.00%,"5,000","8,819","287,260",4.32,"513,135",-6.30,-3.30,
187,코리안리,"7,320",70,+0.97%,500,"8,811","120,369",27.28,"500,556",5.30,8.04,
188,TRUE 코스피 양매도 5% OTM ETN,"8,905",30,-0.34%,0,"8,807","98,900",0.00,"55,228",N/A,N/A,
189,롯데리츠,"5,050",30,-0.59%,500,"8,684","171,969",8.85,"205,369",58.72,1.64,
190,코오롱인더,"32,000",350,-1.08%,"5,000","8,633","26,979",16.70,"132,857",5.51,1.58,
191,KODEX 단기채권PLUS,"102,685",0,0.00%,0,"8,618","8,393",0.00,"3,771",N/A,N/A,
192,드림텍,"13,800",600,-4.17%,100,"8,569","62,095",22.65,"2,167,994",39.77,13.24,
193,JB금융지주,"4,310",35,-0.81%,"5,000","8,490","196,983",38.95,"357,167",2.45,10.36,
194,현대오토에버,"40,400","1,200",-2.88%,500,"8,484","21,000",1.33,"84,258",14.75,11.71,
195,오리온홀딩스,"13,350",300,-2.20%,500,"8,363","62,645",9.81,"100,605",12.17,2.55,
196,삼양식품,"110,500",500,+0.45%,"5,000","8,324","7,533",6.88,"70,147",11.07,23.15,
197,SK가스,"88,900",700,-0.78%,"5,000","8,206","9,230",8.52,"13,197",2.36,9.85,
198,일진다이아,"57,700","1,400",-2.37%,"1,000","8,195","14,203",2.37,"519,410",116.33,8.06,
199,S&T모티브,"56,000",200,-0.36%,"5,000","8,189","14,623",23.46,"65,143",11.70,0.33,
200,제이알글로벌리츠,"4,900",30,-0.61%,"1,000","8,114","165,600",0.01,"204,188",N/A,N/A,
